Epoca,accuracy,loss,val_accuracy,val_loss
1,0.40878379344940186,1.7119863033294678,0.759759783744812,0.8065200448036194
2,0.7002627849578857,0.9215783476829529,0.857357382774353,0.47289979457855225
3,0.7869744896888733,0.6550259590148926,0.9039039015769958,0.34041911363601685
4,0.8237612843513489,0.5465848445892334,0.9039039015769958,0.2980009913444519
5,0.8502252101898193,0.45817139744758606,0.9414414167404175,0.20985281467437744
6,0.8759384155273438,0.39733654260635376,0.9324324131011963,0.2129369080066681
7,0.8746246099472046,0.37490999698638916,0.9414414167404175,0.19945646822452545
8,0.8832582831382751,0.3709672689437866,0.9399399161338806,0.18793827295303345
9,0.897522509098053,0.323651522397995,0.9489489197731018,0.17847217619419098
10,0.910097599029541,0.2835066020488739,0.9504504799842834,0.1607615202665329
11,0.907282292842865,0.2818087935447693,0.9564564824104309,0.13855032622814178
12,0.9245495200157166,0.23830129206180573,0.9534534811973572,0.14569725096225739
13,0.922672688961029,0.23826804757118225,0.9654654860496521,0.12438355386257172
14,0.9303678870201111,0.2202679067850113,0.966966986656189,0.1101699098944664
15,0.929804801940918,0.2174409031867981,0.9699699878692627,0.11228101700544357
16,0.9388138055801392,0.20660912990570068,0.9534534811973572,0.12430071830749512
17,0.9421921968460083,0.1829049438238144,0.9699699878692627,0.10653473436832428
18,0.9412537813186646,0.1804364025592804,0.9594594836235046,0.12548770010471344
19,0.9435060024261475,0.17348413169384003,0.9699699878692627,0.10459660738706589
20,0.9455705881118774,0.16980479657649994,0.966966986656189,0.09786149114370346
21,0.9483858942985535,0.1664534956216812,0.966966986656189,0.09947451204061508
22,0.9450075030326843,0.1638033539056778,0.9684684872627258,0.08399172127246857
23,0.9476351141929626,0.16250251233577728,0.9714714884757996,0.07375121116638184
24,0.9498873949050903,0.15363529324531555,0.9714714884757996,0.07700487971305847
25,0.9573948979377747,0.1389191895723343,0.977477490901947,0.06917569041252136
26,0.9566441178321838,0.13434451818466187,0.9699699878692627,0.08040134608745575
27,0.9558933973312378,0.14307214319705963,0.9804804921150208,0.07084526121616364
28,0.955142617225647,0.13603492081165314,0.977477490901947,0.08342698216438293
29,0.9577702879905701,0.13275060057640076,0.966966986656189,0.0995231494307518
30,0.966966986656189,0.1058802679181099,0.9759759902954102,0.08428386598825455
31,0.9639639854431152,0.11975839734077454,0.977477490901947,0.09040232002735138
32,0.9607732892036438,0.1194838359951973,0.977477490901947,0.08452026546001434
33,0.966966986656189,0.10608933120965958,0.9789789915084839,0.07625938206911087
34,0.9635885953903198,0.10485129803419113,0.9864864945411682,0.054175086319446564
35,0.9624624848365784,0.11742495000362396,0.9849849939346313,0.06124050170183182
36,0.9658408164978027,0.10345658659934998,0.9759759902954102,0.06456824392080307
37,0.9630255103111267,0.11508779227733612,0.9819819927215576,0.07354705035686493
38,0.9695945978164673,0.0971159115433693,0.9849849939346313,0.06329672783613205
39,0.9720345139503479,0.08630890399217606,0.9759759902954102,0.08864784985780716
40,0.9722222089767456,0.08777254819869995,0.9789789915084839,0.08001727610826492
41,0.9748498201370239,0.08596319705247879,0.9684684872627258,0.10563700646162033
42,0.9684684872627258,0.09921406954526901,0.9819819927215576,0.04642023891210556
43,0.9729729890823364,0.08415476232767105,0.9879879951477051,0.06325870752334595
44,0.9737237095832825,0.08384185284376144,0.9744744896888733,0.07420216500759125
45,0.9778528809547424,0.07595957815647125,0.9849849939346313,0.0690394788980484
46,0.9763513803482056,0.07126253098249435,0.9834834933280945,0.07014302909374237
47,0.9712837934494019,0.08311985433101654,0.9834834933280945,0.06330288201570511
48,0.9772897958755493,0.07525891810655594,0.9819819927215576,0.07616225630044937
49,0.9703453183174133,0.0967404693365097,0.9879879951477051,0.04928746819496155
50,0.9765390157699585,0.08164585381746292,0.977477490901947,0.0724375769495964
51,0.9814189076423645,0.061266347765922546,0.9864864945411682,0.07046710699796677
52,0.9772897958755493,0.07425782829523087,0.9819819927215576,0.06598612666130066
