Epoca,accuracy,loss,val_accuracy,val_loss
1,0.4716591536998749,1.5175449848175049,0.8033033013343811,0.5898315906524658
2,0.7693318128585815,0.7045350670814514,0.9174174070358276,0.2949468791484833
3,0.8406531810760498,0.4747958779335022,0.9339339137077332,0.23204723000526428
4,0.8828828930854797,0.37841373682022095,0.954954981803894,0.1802317351102829
5,0.9014639854431152,0.31774404644966125,0.9414414167404175,0.19870829582214355
6,0.9117867946624756,0.280203640460968,0.954954981803894,0.1483118236064911
7,0.9209834933280945,0.2444351464509964,0.9489489197731018,0.15979138016700745
8,0.931869387626648,0.21234360337257385,0.9624624848365784,0.12932169437408447
9,0.9375,0.1917181760072708,0.9639639854431152,0.13211144506931305
10,0.9453828930854797,0.17887522280216217,0.9744744896888733,0.0896432101726532
11,0.9570195078849792,0.13973942399024963,0.9789789915084839,0.07885689288377762
12,0.9564564824104309,0.13748617470264435,0.9789789915084839,0.07554839551448822
13,0.9545795917510986,0.1344643235206604,0.9804804921150208,0.07236348092556
14,0.962087094783783,0.11727327853441238,0.977477490901947,0.06730563193559647
15,0.9658408164978027,0.10573972016572952,0.9714714884757996,0.09487168490886688
16,0.9630255103111267,0.11643783748149872,0.9849849939346313,0.05576356127858162
17,0.9682807922363281,0.10153449326753616,0.9894894957542419,0.05842278152704239
18,0.9658408164978027,0.10050893574953079,0.9804804921150208,0.05165867134928703
19,0.9735360145568848,0.09010650217533112,0.9894894957542419,0.03911205008625984
20,0.9769144058227539,0.07782363146543503,0.9849849939346313,0.05717585235834122
21,0.9742867946624756,0.09315883368253708,0.9864864945411682,0.055279843509197235
22,0.974662184715271,0.0917772427201271,0.9894894957542419,0.03715115785598755
23,0.9756006002426147,0.07476819306612015,0.9834834933280945,0.06466430425643921
24,0.9742867946624756,0.0802987664937973,0.9834834933280945,0.049551788717508316
25,0.9784159064292908,0.07029064744710922,0.9894894957542419,0.03692897409200668
26,0.9765390157699585,0.07463780045509338,0.9864864945411682,0.035345908254384995
27,0.9791666865348816,0.0674651637673378,0.9894894957542419,0.026436230167746544
28,0.9838588833808899,0.05812583118677139,0.9879879951477051,0.0428212434053421
29,0.9831081032752991,0.058734647929668427,0.9879879951477051,0.03679443150758743
30,0.9832957983016968,0.05368673801422119,0.9849849939346313,0.05965554714202881
31,0.977477490901947,0.0734553188085556,0.9759759902954102,0.06941122561693192
32,0.9799174070358276,0.06216531619429588,0.9864864945411682,0.04922549054026604
33,0.9832957983016968,0.05612726882100105,0.9909909963607788,0.03976879641413689
34,0.9827327132225037,0.05218315124511719,0.9819819927215576,0.0676829144358635
35,0.9814189076423645,0.0555502288043499,0.9924924969673157,0.02842780575156212
36,0.9840465188026428,0.050089605152606964,0.9864864945411682,0.040084078907966614
37,0.9847972989082336,0.04605577141046524,0.9894894957542419,0.030133401975035667
