Epoca,accuracy,loss,val_accuracy,val_loss
1,0.4093468487262726,1.6584751605987549,0.7837837934494019,0.7029275298118591
2,0.7028903961181641,0.8611599802970886,0.8858858942985535,0.36938023567199707
3,0.7916666865348816,0.6172536015510559,0.9234234094619751,0.2620514929294586
4,0.8100600838661194,0.5191548466682434,0.9429429173469543,0.19819150865077972
5,0.8438438177108765,0.45301952958106995,0.9594594836235046,0.17441542446613312
6,0.8551051020622253,0.42315372824668884,0.9534534811973572,0.14971064031124115
7,0.8736861944198608,0.37478533387184143,0.9594594836235046,0.1285417526960373
8,0.8853228092193604,0.3491520285606384,0.9564564824104309,0.13855956494808197
9,0.8933933973312378,0.31004762649536133,0.9699699878692627,0.10859006643295288
10,0.9042792916297913,0.2817164659500122,0.9609609842300415,0.11817564070224762
11,0.9007132053375244,0.2808074355125427,0.966966986656189,0.10553311556577682
12,0.9099099040031433,0.26140519976615906,0.9699699878692627,0.10249698907136917
13,0.914977490901947,0.25670620799064636,0.9744744896888733,0.08746229112148285
14,0.917792797088623,0.23514391481876373,0.9714714884757996,0.09834161400794983
15,0.9258633852005005,0.22281649708747864,0.9744744896888733,0.08048418909311295
16,0.9245495200157166,0.22241249680519104,0.9714714884757996,0.10091585665941238
17,0.9290540814399719,0.2156498283147812,0.977477490901947,0.06973134726285934
18,0.9260510802268982,0.20688168704509735,0.9789789915084839,0.07781335711479187
19,0.9344969987869263,0.19014136493206024,0.977477490901947,0.07528064399957657
20,0.93543541431427,0.19342459738254547,0.9819819927215576,0.0740327313542366
21,0.9361861944198608,0.18912950158119202,0.9804804921150208,0.061336155980825424
22,0.9359984993934631,0.19667871296405792,0.9744744896888733,0.07988016307353973
23,0.9348723888397217,0.18614257872104645,0.9864864945411682,0.059050727635622025
24,0.9393768906593323,0.17798413336277008,0.9819819927215576,0.06940750777721405
25,0.9416291117668152,0.1629454344511032,0.9729729890823364,0.06210080906748772
26,0.9498873949050903,0.14894869923591614,0.9819819927215576,0.045592207461595535
27,0.9487612843513489,0.15715651214122772,0.9879879951477051,0.051573727279901505
28,0.9444444179534912,0.1637534350156784,0.9849849939346313,0.06453033536672592
29,0.9476351141929626,0.15702266991138458,0.9864864945411682,0.052869219332933426
30,0.9485735893249512,0.14329801499843597,0.9864864945411682,0.058494698256254196
31,0.9521396160125732,0.13961103558540344,0.9834834933280945,0.05654340609908104
32,0.9530780911445618,0.13953670859336853,0.9879879951477051,0.04881419613957405
33,0.9543918967247009,0.13320957124233246,0.9729729890823364,0.08025264739990234
34,0.9512012004852295,0.13931818306446075,0.9849849939346313,0.0547337643802166
35,0.9508258104324341,0.13549765944480896,0.9849849939346313,0.06159859895706177
36,0.957207202911377,0.1274029165506363,0.9834834933280945,0.04436254873871803
37,0.9536411166191101,0.13662877678871155,0.9894894957542419,0.04857618734240532
38,0.9617117047309875,0.11747613549232483,0.9879879951477051,0.05041027441620827
39,0.9602102041244507,0.11945458501577377,0.9744744896888733,0.08501453697681427
40,0.9592717885971069,0.10993891954421997,0.9834834933280945,0.07102368772029877
41,0.9562687873840332,0.12070853263139725,0.9834834933280945,0.06610266119241714
42,0.9594594836235046,0.12500634789466858,0.9909909963607788,0.05359617993235588
43,0.9611486196517944,0.11107806116342545,0.9864864945411682,0.06206130236387253
44,0.9639639854431152,0.10675839334726334,0.9879879951477051,0.05455581843852997
45,0.9662162065505981,0.10374945402145386,0.9849849939346313,0.07501064240932465
46,0.9596471190452576,0.1163538247346878,0.9879879951477051,0.057086359709501266
