accuracy,loss,val_accuracy,val_loss
0.43656155467033386,1.6112550497055054,0.8438438177108765,0.5940766930580139
0.7505630850791931,0.7505010366439819,0.9054054021835327,0.3587835431098938
0.8271396160125732,0.5191126465797424,0.9234234094619751,0.28252407908439636
0.8643018007278442,0.4236927628517151,0.9474474191665649,0.2010769546031952
0.8866366147994995,0.36843419075012207,0.9339339137077332,0.19716282188892365
0.900337815284729,0.3232220709323883,0.9519519805908203,0.15551410615444183
0.9048423171043396,0.28361138701438904,0.9414414167404175,0.18591687083244324
0.9161036014556885,0.26307594776153564,0.9534534811973572,0.13025382161140442
0.9172297120094299,0.2541835308074951,0.9564564824104309,0.14277102053165436
0.9264264106750488,0.22485889494419098,0.977477490901947,0.08149133622646332
0.9421921968460083,0.1935306340456009,0.9714714884757996,0.10886969417333603
0.9361861944198608,0.18912561237812042,0.9594594836235046,0.1365097165107727
0.9468843936920166,0.173194020986557,0.9699699878692627,0.10088802874088287
0.9487612843513489,0.16011424362659454,0.966966986656189,0.11243050545454025
0.9495120048522949,0.16141928732395172,0.9684684872627258,0.10162805020809174
0.9557057023048401,0.141005739569664,0.9699699878692627,0.093289814889431
0.9590840935707092,0.12256839871406555,0.9729729890823364,0.08363400399684906
0.9564564824104309,0.1327361762523651,0.9804804921150208,0.06529026478528976
0.9562687873840332,0.13550500571727753,0.9744744896888733,0.08020660281181335
0.9607732892036438,0.12378262728452682,0.9744744896888733,0.08511170744895935
0.9618993997573853,0.12274741381406784,0.9714714884757996,0.077882319688797
0.9660285115242004,0.11009234935045242,0.9789789915084839,0.07177799195051193
0.9650900959968567,0.10809984058141708,0.977477490901947,0.08322152495384216
0.9660285115242004,0.11023443937301636,0.9729729890823364,0.08476386964321136
0.9656531810760498,0.10661783069372177,0.9759759902954102,0.06713461130857468
0.9707207083702087,0.10090779513120651,0.9729729890823364,0.0798623189330101
0.9731606841087341,0.082854725420475,0.9804804921150208,0.06490916758775711
0.9695945978164673,0.09624358266592026,0.9789789915084839,0.055101074278354645
0.970533013343811,0.09687288850545883,0.9804804921150208,0.05324282497167587
0.9737237095832825,0.08254332095384598,0.9789789915084839,0.05683939531445503
0.9729729890823364,0.08290700614452362,0.9819819927215576,0.06186819076538086
0.969782292842865,0.09532428532838821,0.9729729890823364,0.06439192593097687
0.975412905216217,0.08570834249258041,0.9804804921150208,0.07979759573936462
0.9748498201370239,0.07981675863265991,0.977477490901947,0.06584002077579498
0.9772897958755493,0.07325062900781631,0.9834834933280945,0.06461986154317856
0.9782282114028931,0.06933169066905975,0.9849849939346313,0.042539119720458984
0.9742867946624756,0.07529343664646149,0.9804804921150208,0.053783118724823
0.9791666865348816,0.06647653132677078,0.9789789915084839,0.058894768357276917
0.9767267107963562,0.06401026248931885,0.9714714884757996,0.10457084327936172
0.9816066026687622,0.06058719754219055,0.9849849939346313,0.04125792533159256
0.9810435175895691,0.058044806122779846,0.9804804921150208,0.07087642699480057
0.9838588833808899,0.056569818407297134,0.977477490901947,0.06753679364919662
0.9846096038818359,0.05051877349615097,0.9864864945411682,0.0397481843829155
0.9735360145568848,0.08026459068059921,0.9849849939346313,0.049742694944143295
0.982357382774353,0.06069250777363777,0.9879879951477051,0.04441504925489426
0.9810435175895691,0.05897163599729538,0.9864864945411682,0.044572148472070694
0.9819819927215576,0.05478040501475334,0.9834834933280945,0.052413687109947205
0.982357382774353,0.05357465520501137,0.9834834933280945,0.051942259073257446
0.9849849939346313,0.04643313214182854,0.9909909963607788,0.033637627959251404
0.9814189076423645,0.060199279338121414,0.9864864945411682,0.05799142271280289
0.9821696877479553,0.0589790865778923,0.9894894957542419,0.044580984860658646
0.9866741895675659,0.045720424503088,0.9879879951477051,0.02942134439945221
0.9840465188026428,0.05099135637283325,0.9804804921150208,0.0639219805598259
0.9806681871414185,0.05704743415117264,0.9729729890823364,0.061624474823474884
0.9838588833808899,0.05786219984292984,0.9864864945411682,0.04673530161380768
0.9859234094619751,0.04441642388701439,0.9834834933280945,0.05708760768175125
0.9834834933280945,0.05434153228998184,0.9894894957542419,0.03767573460936546
0.9881756901741028,0.03833572193980217,0.9879879951477051,0.04753297194838524
0.9881756901741028,0.041377149522304535,0.9819819927215576,0.0538160540163517
0.9827327132225037,0.05133878439664841,0.9834834933280945,0.060126423835754395
0.9861111044883728,0.0485234409570694,0.9789789915084839,0.05838191881775856
0.9842342138290405,0.04770608991384506,0.9879879951477051,0.04078323394060135
