Modelo,Semilla,Parametros,Mejor_epoca,Epocas_ejecutadas,Val_accuracy,Val_accuracy_porcentaje,Val_loss_clasificacion,Penalizacion_regularizacion,Val_loss_total,Val_accuracy_v1,Val_accuracy_v2,Val_accuracy_macro_origen,Brecha_origen_pp,Tiempo_total_minutos,Segundos_por_epoca,Ruta_modelo
A - Base,42,822346,60.0,70.0,0.9924924969673157,99.24924969673157,0.029058722779154778,0.0,0.029058676213026047,0.9804878048780488,0.9978308026030369,0.9891593037405428,1.7342997724988152,4.87788477333379,4.181044091428963,C:\Users\Bastian\Desktop\Universidad\NOVENO SEMESTRE\IA\TALLER 3\regularizacion\models\v3\checkpoints\modelo_A_base_mejor.keras
A - Base,123,822346,27.0,37.0,0.9894894957542419,98.9489495754242,0.026436256244778633,0.0,0.026436230167746544,0.9707317073170731,0.9978308026030369,0.984281254960055,2.709909528596377,2.661633183332742,4.3161619189179605,C:\Users\Bastian\Desktop\Universidad\NOVENO SEMESTRE\IA\TALLER 3\regularizacion\models\v3\checkpoints\estabilidad\a__base_seed_123_mejor.keras
A - Base,2026,822346,52.0,62.0,0.9879879951477051,98.79879951477051,0.02942138910293579,0.0,0.02942134439945221,0.9658536585365853,0.9978308026030369,0.9818422305698111,3.197714406645158,4.241957251666463,4.105119920967545,C:\Users\Bastian\Desktop\Universidad\NOVENO SEMESTRE\IA\TALLER 3\regularizacion\models\v3\checkpoints\estabilidad\a__base_seed_2026_mejor.keras
D - L2 1e-5,42,822346,47.0,57.0,0.9954954981803894,99.54954981803894,0.019789135083556175,0.02025352232158184,0.040042657405138016,0.9902439024390244,0.9978308026030369,0.9940373525210306,0.7586900164012533,4.213604444999752,4.435373099999739,C:\Users\Bastian\Desktop\Universidad\NOVENO SEMESTRE\IA\TALLER 3\regularizacion\models\v3\checkpoints\modelo_D_L2_1e5_mejor.keras
D - L2 1e-5,123,822346,27.0,37.0,0.9939939975738525,99.39939975738525,0.025051280856132507,0.01471707969903946,0.03976836055517197,0.9853658536585366,0.9978308026030369,0.9915983281307867,1.2464948944500343,2.6606263733333133,4.314529254054022,C:\Users\Bastian\Desktop\Universidad\NOVENO SEMESTRE\IA\TALLER 3\regularizacion\models\v3\checkpoints\estabilidad\d__l2_1e5_seed_123_mejor.keras
D - L2 1e-5,2026,822346,27.0,37.0,0.9849849939346313,98.49849939346313,0.05451025441288948,0.010601487010717392,0.06511174142360687,0.9609756097560975,0.9956616052060737,0.9783186074810857,3.4685995449976192,2.6623805999998393,4.317373945945685,C:\Users\Bastian\Desktop\Universidad\NOVENO SEMESTRE\IA\TALLER 3\regularizacion\models\v3\checkpoints\estabilidad\d__l2_1e5_seed_2026_mejor.keras
