Origen,Cantidad,Accuracy,Accuracy_porcentaje,Loss_clasificacion
v1,205,0.9902439024390244,99.02439024390245,0.057724729180336
v2,461,0.9978308026030369,99.78308026030369,0.0029207586776465178
