Modelo,Corridas,Accuracy_media,Accuracy_std,Loss_clasificacion_media,Loss_clasificacion_std,Accuracy_v1_media,Accuracy_v2_media,Accuracy_macro_origen_media,Brecha_origen_media_pp,Mejor_epoca_media,Accuracy_media_porcentaje,Accuracy_std_porcentaje
D - L2 1e-5,3,0.9914914965629578,0.005684589550457584,0.033116890117526054,0.018713085567018572,0.9788617886178862,0.9971077368040492,0.9879847627109677,1.8245948186163023,33.666666666666664,99.14914965629578,0.5684589550457584
A - Base,3,0.9899899959564209,0.0022935800618257636,0.028305456042289734,0.0016288992073983165,0.9723577235772357,0.9978308026030369,0.9850942630901364,2.547307902580117,46.333333333333336,98.99899959564209,0.22935800618257637
